,Runtime,Runtime_0_30,Runtime_31_45,Runtime_46_60,Runtime_61_75,Runtime_76_90,Runtime_91_105,Runtime_106_120,Runtime_121_135,Runtime_136_150,Runtime_151_175,Runtime_176_190,Runtime_191+
36,138.0,0,0,0,0,0,0,0,0,1,0,0,0
37,101.0,0,0,0,0,0,1,0,0,0,0,0,0
38,112.0,0,0,0,0,0,0,1,0,0,0,0,0
39,67.0,0,0,0,1,0,0,0,0,0,0,0,0
40,144.0,0,0,0,0,0,0,0,0,1,0,0,0
41,84.0,0,0,0,0,1,0,0,0,0,0,0,0
42,106.0,0,0,0,0,0,0,0,0,0,0,0,0
43,116.0,0,0,0,0,0,0,1,0,0,0,0,0
44,359.0,0,0,0,0,0,0,0,0,0,0,0,1
45,210.0,0,0,0,0,0,0,0,0,0,0,0,1
46,93.0,0,0,0,0,0,1,0,0,0,0,0,0
47,176.0,0,0,0,0,0,0,0,0,0,0,0,0
48,124.0,0,0,0,0,0,0,0,1,0,0,0,0
49,81.0,0,0,0,0,1,0,0,0,0,0,0,0
50,121.0,0,0,0,0,0,0,0,0,0,0,0,0
51,117.0,0,0,0,0,0,0,1,0,0,0,0,0
52,140.0,0,0,0,0,0,0,0,0,1,0,0,0
53,110.0,0,0,0,0,0,0,1,0,0,0,0,0
54,124.0,0,0,0,0,0,0,0,1,0,0,0,0
55,150.0,0,0,0,0,0,0,0,0,1,0,0,0
56,170.0,0,0,0,0,0,0,0,0,0,1,0,0
57,118.0,0,0,0,0,0,0,1,0,0,0,0,0
58,86.0,0,0,0,0,1,0,0,0,0,0,0,0
59,136.0,0,0,0,0,0,0,0,0,0,0,0,0
60,123.0,0,0,0,0,0,0,0,1,0,0,0,0
61,59.0,0,0,1,0,0,0,0,0,0,0,0,0
62,41.0,0,1,0,0,0,0,0,0,0,0,0,0
63,71.0,0,0,0,1,0,0,0,0,0,0,0,0
64,128.0,0,0,0,0,0,0,0,1,0,0,0,0
65,93.0,0,0,0,0,0,1,0,0,0,0,0,0
66,186.0,0,0,0,0,0,0,0,0,0,0,1,0
67,118.0,0,0,0,0,0,0,1,0,0,0,0,0
68,90.0,0,0,0,0,1,0,0,0,0,0,0,0
69,112.0,0,0,0,0,0,0,1,0,0,0,0,0
70,144.0,0,0,0,0,0,0,0,0,1,0,0,0
71,168.0,0,0,0,0,0,0,0,0,0,1,0,0
72,123.0,0,0,0,0,0,0,0,1,0,0,0,0
73,88.0,0,0,0,0,1,0,0,0,0,0,0,0
74,123.0,0,0,0,0,0,0,0,1,0,0,0,0
75,132.0,0,0,0,0,0,0,0,1,0,0,0,0
76,90.0,0,0,0,0,1,0,0,0,0,0,0,0
77,65.0,0,0,0,1,0,0,0,0,0,0,0,0
78,158.0,0,0,0,0,0,0,0,0,0,1,0,0
79,132.0,0,0,0,0,0,0,0,1,0,0,0,0
80,120.0,0,0,0,0,0,0,1,0,0,0,0,0
81,104.0,0,0,0,0,0,1,0,0,0,0,0,0
82,91.0,0,0,0,0,0,0,0,0,0,0,0,0
83,88.0,0,0,0,0,1,0,0,0,0,0,0,0
84,94.0,0,0,0,0,0,1,0,0,0,0,0,0
85,101.0,0,0,0,0,0,1,0,0,0,0,0,0
86,122.0,0,0,0,0,0,0,0,1,0,0,0,0
87,95.0,0,0,0,0,0,1,0,0,0,0,0,0
88,101.0,0,0,0,0,0,1,0,0,0,0,0,0
89,117.0,0,0,0,0,0,0,1,0,0,0,0,0
90,102.0,0,0,0,0,0,1,0,0,0,0,0,0
91,89.0,0,0,0,0,1,0,0,0,0,0,0,0
92,105.0,0,0,0,0,0,1,0,0,0,0,0,0
93,133.0,0,0,0,0,0,0,0,1,0,0,0,0
94,113.0,0,0,0,0,0,0,1,0,0,0,0,0
95,94.0,0,0,0,0,0,1,0,0,0,0,0,0
96,135.0,0,0,0,0,0,0,0,1,0,0,0,0
97,121.0,0,0,0,0,0,0,0,0,0,0,0,0
98,143.0,0,0,0,0,0,0,0,0,1,0,0,0
99,73.0,0,0,0,1,0,0,0,0,0,0,0,0
100,114.0,0,0,0,0,0,0,1,0,0,0,0,0
101,122.0,0,0,0,0,0,0,0,1,0,0,0,0
102,110.0,0,0,0,0,0,0,1,0,0,0,0,0
103,112.0,0,0,0,0,0,0,1,0,0,0,0,0
104,137.0,0,0,0,0,0,0,0,0,1,0,0,0
105,85.0,0,0,0,0,1,0,0,0,0,0,0,0
106,123.0,0,0,0,0,0,0,0,1,0,0,0,0
107,81.0,0,0,0,0,1,0,0,0,0,0,0,0
108,92.0,0,0,0,0,0,1,0,0,0,0,0,0
109,113.0,0,0,0,0,0,0,1,0,0,0,0,0
110,106.0,0,0,0,0,0,0,0,0,0,0,0,0
111,130.0,0,0,0,0,0,0,0,1,0,0,0,0
112,138.0,0,0,0,0,0,0,0,0,1,0,0,0
113,123.0,0,0,0,0,0,0,0,1,0,0,0,0
114,153.0,0,0,0,0,0,0,0,0,0,1,0,0
115,94.0,0,0,0,0,0,1,0,0,0,0,0,0
116,128.0,0,0,0,0,0,0,0,1,0,0,0,0
117,112.0,0,0,0,0,0,0,1,0,0,0,0,0
118,80.0,0,0,0,0,1,0,0,0,0,0,0,0
119,94.0,0,0,0,0,0,1,0,0,0,0,0,0
120,123.0,0,0,0,0,0,0,0,1,0,0,0,0
121,102.0,0,0,0,0,0,1,0,0,0,0,0,0
122,147.0,0,0,0,0,0,0,0,0,1,0,0,0
123,103.0,0,0,0,0,0,1,0,0,0,0,0,0
124,135.0,0,0,0,0,0,0,0,1,0,0,0,0
125,100.0,0,0,0,0,0,1,0,0,0,0,0,0
126,94.0,0,0,0,0,0,1,0,0,0,0,0,0
127,26.0,1,0,0,0,0,0,0,0,0,0,0,0
128,118.0,0,0,0,0,0,0,1,0,0,0,0,0
129,94.0,0,0,0,0,0,1,0,0,0,0,0,0
130,108.0,0,0,0,0,0,0,1,0,0,0,0,0
131,104.0,0,0,0,0,0,1,0,0,0,0,0,0
132,79.0,0,0,0,0,1,0,0,0,0,0,0,0
133,104.0,0,0,0,0,0,1,0,0,0,0,0,0
134,94.0,0,0,0,0,0,1,0,0,0,0,0,0
135,117.0,0,0,0,0,0,0,1,0,0,0,0,0
136,155.0,0,0,0,0,0,0,0,0,0,1,0,0
137,113.0,0,0,0,0,0,0,1,0,0,0,0,0
138,87.0,0,0,0,0,1,0,0,0,0,0,0,0
139,60.0,0,0,1,0,0,0,0,0,0,0,0,0
140,92.0,0,0,0,0,0,1,0,0,0,0,0,0
141,111.0,0,0,0,0,0,0,1,0,0,0,0,0
142,134.0,0,0,0,0,0,0,0,1,0,0,0,0
143,98.0,0,0,0,0,0,1,0,0,0,0,0,0
144,116.0,0,0,0,0,0,0,1,0,0,0,0,0
145,92.0,0,0,0,0,0,1,0,0,0,0,0,0
146,93.0,0,0,0,0,0,1,0,0,0,0,0,0
147,181.0,0,0,0,0,0,0,0,0,0,0,1,0
148,148.0,0,0,0,0,0,0,0,0,1,0,0,0
149,116.0,0,0,0,0,0,0,1,0,0,0,0,0
150,105.0,0,0,0,0,0,1,0,0,0,0,0,0
151,100.0,0,0,0,0,0,1,0,0,0,0,0,0
152,105.0,0,0,0,0,0,1,0,0,0,0,0,0
153,69.0,0,0,0,1,0,0,0,0,0,0,0,0
154,64.0,0,0,0,1,0,0,0,0,0,0,0,0
155,123.0,0,0,0,0,0,0,0,1,0,0,0,0
156,135.0,0,0,0,0,0,0,0,1,0,0,0,0
157,96.0,0,0,0,0,0,1,0,0,0,0,0,0
158,158.0,0,0,0,0,0,0,0,0,0,1,0,0
159,143.0,0,0,0,0,0,0,0,0,1,0,0,0
160,106.0,0,0,0,0,0,0,0,0,0,0,0,0
161,71.0,0,0,0,1,0,0,0,0,0,0,0,0
162,120.0,0,0,0,0,0,0,1,0,0,0,0,0
163,98.0,0,0,0,0,0,1,0,0,0,0,0,0
164,118.0,0,0,0,0,0,0,1,0,0,0,0,0
165,94.0,0,0,0,0,0,1,0,0,0,0,0,0
166,90.0,0,0,0,0,1,0,0,0,0,0,0,0
167,101.0,0,0,0,0,0,1,0,0,0,0,0,0
168,127.0,0,0,0,0,0,0,0,1,0,0,0,0
169,82.0,0,0,0,0,1,0,0,0,0,0,0,0
170,100.0,0,0,0,0,0,1,0,0,0,0,0,0
171,100.0,0,0,0,0,0,1,0,0,0,0,0,0
172,100.0,0,0,0,0,0,1,0,0,0,0,0,0
173,126.0,0,0,0,0,0,0,0,1,0,0,0,0
174,114.0,0,0,0,0,0,0,1,0,0,0,0,0
175,114.0,0,0,0,0,0,0,1,0,0,0,0,0
176,106.0,0,0,0,0,0,0,0,0,0,0,0,0
177,39.0,0,1,0,0,0,0,0,0,0,0,0,0
178,90.0,0,0,0,0,1,0,0,0,0,0,0,0
179,107.0,0,0,0,0,0,0,1,0,0,0,0,0
180,139.0,0,0,0,0,0,0,0,0,1,0,0,0
181,106.0,0,0,0,0,0,0,0,0,0,0,0,0
182,115.0,0,0,0,0,0,0,1,0,0,0,0,0
183,122.0,0,0,0,0,0,0,0,1,0,0,0,0
184,121.0,0,0,0,0,0,0,0,0,0,0,0,0
185,115.0,0,0,0,0,0,0,1,0,0,0,0,0
186,125.0,0,0,0,0,0,0,0,1,0,0,0,0
187,126.0,0,0,0,0,0,0,0,1,0,0,0,0
188,60.0,0,0,1,0,0,0,0,0,0,0,0,0
189,165.0,0,0,0,0,0,0,0,0,0,1,0,0
190,97.0,0,0,0,0,0,1,0,0,0,0,0,0
191,91.0,0,0,0,0,0,0,0,0,0,0,0,0
192,62.0,0,0,0,1,0,0,0,0,0,0,0,0
193,85.0,0,0,0,0,1,0,0,0,0,0,0,0
194,130.0,0,0,0,0,0,0,0,1,0,0,0,0
195,96.0,0,0,0,0,0,1,0,0,0,0,0,0
196,134.0,0,0,0,0,0,0,0,1,0,0,0,0
197,,0,0,0,0,0,0,0,0,0,0,0,0
198,118.0,0,0,0,0,0,0,1,0,0,0,0,0
199,149.0,0,0,0,0,0,0,0,0,1,0,0,0
200,113.0,0,0,0,0,0,0,1,0,0,0,0,0
201,148.0,0,0,0,0,0,0,0,0,1,0,0,0
202,109.0,0,0,0,0,0,0,1,0,0,0,0,0
203,127.0,0,0,0,0,0,0,0,1,0,0,0,0
204,115.0,0,0,0,0,0,0,1,0,0,0,0,0
205,44.0,0,1,0,0,0,0,0,0,0,0,0,0
206,97.0,0,0,0,0,0,1,0,0,0,0,0,0
207,114.0,0,0,0,0,0,0,1,0,0,0,0,0
208,87.0,0,0,0,0,1,0,0,0,0,0,0,0
209,94.0,0,0,0,0,0,1,0,0,0,0,0,0
210,115.0,0,0,0,0,0,0,1,0,0,0,0,0
211,103.0,0,0,0,0,0,1,0,0,0,0,0,0
212,105.0,0,0,0,0,0,1,0,0,0,0,0,0
213,125.0,0,0,0,0,0,0,0,1,0,0,0,0
214,107.0,0,0,0,0,0,0,1,0,0,0,0,0
215,97.0,0,0,0,0,0,1,0,0,0,0,0,0
216,104.0,0,0,0,0,0,1,0,0,0,0,0,0
217,85.0,0,0,0,0,1,0,0,0,0,0,0,0
218,111.0,0,0,0,0,0,0,1,0,0,0,0,0
219,96.0,0,0,0,0,0,1,0,0,0,0,0,0
220,116.0,0,0,0,0,0,0,1,0,0,0,0,0
221,98.0,0,0,0,0,0,1,0,0,0,0,0,0
222,95.0,0,0,0,0,0,1,0,0,0,0,0,0
223,106.0,0,0,0,0,0,0,0,0,0,0,0,0
224,138.0,0,0,0,0,0,0,0,0,1,0,0,0
225,105.0,0,0,0,0,0,1,0,0,0,0,0,0
226,90.0,0,0,0,0,1,0,0,0,0,0,0,0
227,74.0,0,0,0,1,0,0,0,0,0,0,0,0
228,109.0,0,0,0,0,0,0,1,0,0,0,0,0
229,95.0,0,0,0,0,0,1,0,0,0,0,0,0
230,80.0,0,0,0,0,1,0,0,0,0,0,0,0
231,123.0,0,0,0,0,0,0,0,1,0,0,0,0
232,153.0,0,0,0,0,0,0,0,0,0,1,0,0
233,102.0,0,0,0,0,0,1,0,0,0,0,0,0
234,133.0,0,0,0,0,0,0,0,1,0,0,0,0
235,132.0,0,0,0,0,0,0,0,1,0,0,0,0
236,165.0,0,0,0,0,0,0,0,0,0,1,0,0
237,91.0,0,0,0,0,0,0,0,0,0,0,0,0
238,140.0,0,0,0,0,0,0,0,0,1,0,0,0
239,94.0,0,0,0,0,0,1,0,0,0,0,0,0
240,132.0,0,0,0,0,0,0,0,1,0,0,0,0
241,115.0,0,0,0,0,0,0,1,0,0,0,0,0
242,87.0,0,0,0,0,1,0,0,0,0,0,0,0
