,score_of_10,score_<2.0,score_2.0-3.0,score_3.1-4.0,score_4.1-5.0,score_5.1-6.0,score_6.1-7.0,score_7.1-8.0,score_8.1-9.0,score_9.1-10.0
214,7.2,0,0,0,0,0,0,1,0,0
215,6.2,0,0,0,0,0,1,0,0,0
216,7.4,0,0,0,0,0,0,1,0,0
217,7.5,0,0,0,0,0,0,1,0,0
218,7.6,0,0,0,0,0,0,1,0,0
219,6.5,0,0,0,0,0,1,0,0,0
220,7.3,0,0,0,0,0,0,1,0,0
221,6.4,0,0,0,0,0,1,0,0,0
222,7.2,0,0,0,0,0,0,1,0,0
223,6.6,0,0,0,0,0,1,0,0,0
224,7.2,0,0,0,0,0,0,1,0,0
225,7.3,0,0,0,0,0,0,1,0,0
226,7.7,0,0,0,0,0,0,1,0,0
227,7.1,0,0,0,0,0,0,1,0,0
228,6.5,0,0,0,0,0,1,0,0,0
229,7.4,0,0,0,0,0,0,1,0,0
230,7.1,0,0,0,0,0,0,1,0,0
231,6.6,0,0,0,0,0,1,0,0,0
232,8.1,0,0,0,0,0,0,0,1,0
233,7.4,0,0,0,0,0,0,1,0,0
234,7.3,0,0,0,0,0,0,1,0,0
235,8.2,0,0,0,0,0,0,0,1,0
236,8.4,0,0,0,0,0,0,0,1,0
237,7.3,0,0,0,0,0,0,1,0,0
238,7.2,0,0,0,0,0,0,1,0,0
239,7.1,0,0,0,0,0,0,1,0,0
240,7.6,0,0,0,0,0,0,1,0,0
241,6.2,0,0,0,0,0,1,0,0,0
242,8.1,0,0,0,0,0,0,0,1,0
243,7.3,0,0,0,0,0,0,1,0,0
244,6.9,0,0,0,0,0,1,0,0,0
245,7.5,0,0,0,0,0,0,1,0,0
246,6.9,0,0,0,0,0,1,0,0,0
247,7.0,0,0,0,0,0,1,0,0,0
248,6.7,0,0,0,0,0,1,0,0,0
249,6.9,0,0,0,0,0,1,0,0,0
250,6.3,0,0,0,0,0,1,0,0,0
251,6.8,0,0,0,0,0,1,0,0,0
252,6.0,0,0,0,0,1,0,0,0,0
253,8.1,0,0,0,0,0,0,0,1,0
254,6.8,0,0,0,0,0,1,0,0,0
255,7.5,0,0,0,0,0,0,1,0,0
256,6.6,0,0,0,0,0,1,0,0,0
257,8.2,0,0,0,0,0,0,0,1,0
258,5.8,0,0,0,0,1,0,0,0,0
259,6.6,0,0,0,0,0,1,0,0,0
260,7.5,0,0,0,0,0,0,1,0,0
261,6.5,0,0,0,0,0,1,0,0,0
262,6.7,0,0,0,0,0,1,0,0,0
263,7.6,0,0,0,0,0,0,1,0,0
264,6.0,0,0,0,0,1,0,0,0,0
265,7.2,0,0,0,0,0,0,1,0,0
266,6.6,0,0,0,0,0,1,0,0,0
267,7.2,0,0,0,0,0,0,1,0,0
268,7.5,0,0,0,0,0,0,1,0,0
269,7.2,0,0,0,0,0,0,1,0,0
270,7.0,0,0,0,0,0,1,0,0,0
271,7.5,0,0,0,0,0,0,1,0,0
272,6.5,0,0,0,0,0,1,0,0,0
273,6.6,0,0,0,0,0,1,0,0,0
274,7.1,0,0,0,0,0,0,1,0,0
275,7.1,0,0,0,0,0,0,1,0,0
276,7.8,0,0,0,0,0,0,1,0,0
277,7.2,0,0,0,0,0,0,1,0,0
278,7.5,0,0,0,0,0,0,1,0,0
279,6.8,0,0,0,0,0,1,0,0,0
280,6.1,0,0,0,0,0,1,0,0,0
281,6.3,0,0,0,0,0,1,0,0,0
282,7.3,0,0,0,0,0,0,1,0,0
283,7.7,0,0,0,0,0,0,1,0,0
284,7.8,0,0,0,0,0,0,1,0,0
285,6.7,0,0,0,0,0,1,0,0,0
286,6.8,0,0,0,0,0,1,0,0,0
287,7.1,0,0,0,0,0,0,1,0,0
288,6.3,0,0,0,0,0,1,0,0,0
289,6.9,0,0,0,0,0,1,0,0,0
290,7.1,0,0,0,0,0,0,1,0,0
291,6.4,0,0,0,0,0,1,0,0,0
292,7.5,0,0,0,0,0,0,1,0,0
293,6.7,0,0,0,0,0,1,0,0,0
294,7.1,0,0,0,0,0,0,1,0,0
295,8.2,0,0,0,0,0,0,0,1,0
296,7.1,0,0,0,0,0,0,1,0,0
297,6.5,0,0,0,0,0,1,0,0,0
298,7.3,0,0,0,0,0,0,1,0,0
299,7.0,0,0,0,0,0,1,0,0,0
300,6.4,0,0,0,0,0,1,0,0,0
301,6.5,0,0,0,0,0,1,0,0,0
302,6.8,0,0,0,0,0,1,0,0,0
303,6.6,0,0,0,0,0,1,0,0,0
304,6.6,0,0,0,0,0,1,0,0,0
305,5.8,0,0,0,0,1,0,0,0,0
306,6.8,0,0,0,0,0,1,0,0,0
307,7.9,0,0,0,0,0,0,1,0,0
308,6.8,0,0,0,0,0,1,0,0,0
309,7.1,0,0,0,0,0,0,1,0,0
310,6.8,0,0,0,0,0,1,0,0,0
311,8.3,0,0,0,0,0,0,0,1,0
312,6.4,0,0,0,0,0,1,0,0,0
313,7.1,0,0,0,0,0,0,1,0,0
314,7.2,0,0,0,0,0,0,1,0,0
315,7.2,0,0,0,0,0,0,1,0,0
316,7.2,0,0,0,0,0,0,1,0,0
317,5.8,0,0,0,0,1,0,0,0,0
318,6.3,0,0,0,0,0,1,0,0,0
319,7.6,0,0,0,0,0,0,1,0,0
320,7.7,0,0,0,0,0,0,1,0,0
321,6.4,0,0,0,0,0,1,0,0,0
322,6.3,0,0,0,0,0,1,0,0,0
323,7.2,0,0,0,0,0,0,1,0,0
324,7.1,0,0,0,0,0,0,1,0,0
325,7.5,0,0,0,0,0,0,1,0,0
326,6.6,0,0,0,0,0,1,0,0,0
327,6.5,0,0,0,0,0,1,0,0,0
328,7.0,0,0,0,0,0,1,0,0,0
329,6.5,0,0,0,0,0,1,0,0,0
330,7.1,0,0,0,0,0,0,1,0,0
331,6.6,0,0,0,0,0,1,0,0,0
332,6.7,0,0,0,0,0,1,0,0,0
333,6.6,0,0,0,0,0,1,0,0,0
334,6.2,0,0,0,0,0,1,0,0,0
335,6.8,0,0,0,0,0,1,0,0,0
336,6.9,0,0,0,0,0,1,0,0,0
337,7.0,0,0,0,0,0,1,0,0,0
338,7.1,0,0,0,0,0,0,1,0,0
339,6.5,0,0,0,0,0,1,0,0,0
340,6.8,0,0,0,0,0,1,0,0,0
341,7.7,0,0,0,0,0,0,1,0,0
342,5.8,0,0,0,0,1,0,0,0,0
343,6.5,0,0,0,0,0,1,0,0,0
344,6.4,0,0,0,0,0,1,0,0,0
345,6.9,0,0,0,0,0,1,0,0,0
346,8.4,0,0,0,0,0,0,0,1,0
347,6.9,0,0,0,0,0,1,0,0,0
348,6.7,0,0,0,0,0,1,0,0,0
349,6.5,0,0,0,0,0,1,0,0,0
350,6.1,0,0,0,0,0,1,0,0,0
351,7.5,0,0,0,0,0,0,1,0,0
352,7.4,0,0,0,0,0,0,1,0,0
353,6.6,0,0,0,0,0,1,0,0,0
354,6.2,0,0,0,0,0,1,0,0,0
355,6.0,0,0,0,0,1,0,0,0,0
356,6.6,0,0,0,0,0,1,0,0,0
357,6.2,0,0,0,0,0,1,0,0,0
358,8.1,0,0,0,0,0,0,0,1,0
359,7.2,0,0,0,0,0,0,1,0,0
360,7.1,0,0,0,0,0,0,1,0,0
361,8.0,0,0,0,0,0,0,1,0,0
362,6.2,0,0,0,0,0,1,0,0,0
363,6.5,0,0,0,0,0,1,0,0,0
364,7.2,0,0,0,0,0,0,1,0,0
365,6.8,0,0,0,0,0,1,0,0,0
366,5.8,0,0,0,0,1,0,0,0,0
367,5.8,0,0,0,0,1,0,0,0,0
368,6.7,0,0,0,0,0,1,0,0,0
369,6.7,0,0,0,0,0,1,0,0,0
370,6.9,0,0,0,0,0,1,0,0,0
371,7.1,0,0,0,0,0,0,1,0,0
372,6.2,0,0,0,0,0,1,0,0,0
373,6.3,0,0,0,0,0,1,0,0,0
374,6.8,0,0,0,0,0,1,0,0,0
375,7.3,0,0,0,0,0,0,1,0,0
376,7.7,0,0,0,0,0,0,1,0,0
377,6.2,0,0,0,0,0,1,0,0,0
378,5.9,0,0,0,0,1,0,0,0,0
379,6.4,0,0,0,0,0,1,0,0,0
380,5.2,0,0,0,0,1,0,0,0,0
381,6.5,0,0,0,0,0,1,0,0,0
382,6.9,0,0,0,0,0,1,0,0,0
383,7.0,0,0,0,0,0,1,0,0,0
384,6.1,0,0,0,0,0,1,0,0,0
385,6.8,0,0,0,0,0,1,0,0,0
386,6.1,0,0,0,0,0,1,0,0,0
387,6.0,0,0,0,0,1,0,0,0,0
388,6.7,0,0,0,0,0,1,0,0,0
389,7.9,0,0,0,0,0,0,1,0,0
390,6.6,0,0,0,0,0,1,0,0,0
391,6.7,0,0,0,0,0,1,0,0,0
392,6.5,0,0,0,0,0,1,0,0,0
393,7.3,0,0,0,0,0,0,1,0,0
394,6.9,0,0,0,0,0,1,0,0,0
395,6.8,0,0,0,0,0,1,0,0,0
396,6.9,0,0,0,0,0,1,0,0,0
397,7.3,0,0,0,0,0,0,1,0,0
398,6.7,0,0,0,0,0,1,0,0,0
399,7.5,0,0,0,0,0,0,1,0,0
400,6.4,0,0,0,0,0,1,0,0,0
401,7.3,0,0,0,0,0,0,1,0,0
402,6.7,0,0,0,0,0,1,0,0,0
403,7.1,0,0,0,0,0,0,1,0,0
404,6.3,0,0,0,0,0,1,0,0,0
405,6.2,0,0,0,0,0,1,0,0,0
406,6.7,0,0,0,0,0,1,0,0,0
407,6.4,0,0,0,0,0,1,0,0,0
408,6.2,0,0,0,0,0,1,0,0,0
409,6.2,0,0,0,0,0,1,0,0,0
410,6.6,0,0,0,0,0,1,0,0,0
411,6.7,0,0,0,0,0,1,0,0,0
412,6.7,0,0,0,0,0,1,0,0,0
413,6.4,0,0,0,0,0,1,0,0,0
414,6.9,0,0,0,0,0,1,0,0,0
415,6.4,0,0,0,0,0,1,0,0,0
416,6.2,0,0,0,0,0,1,0,0,0
417,6.1,0,0,0,0,0,1,0,0,0
418,6.8,0,0,0,0,0,1,0,0,0
419,6.4,0,0,0,0,0,1,0,0,0
420,8.0,0,0,0,0,0,0,1,0,0
421,5.8,0,0,0,0,1,0,0,0,0
422,6.1,0,0,0,0,0,1,0,0,0
423,8.2,0,0,0,0,0,0,0,1,0
424,6.5,0,0,0,0,0,1,0,0,0
425,6.2,0,0,0,0,0,1,0,0,0
426,7.2,0,0,0,0,0,0,1,0,0
427,7.6,0,0,0,0,0,0,1,0,0
428,7.5,0,0,0,0,0,0,1,0,0
429,6.9,0,0,0,0,0,1,0,0,0
430,6.8,0,0,0,0,0,1,0,0,0
