,0,1,tomato_score
354,74,100,74.0
355,73,100,73.0
356,73,100,73.0
357,73,100,73.0
358,73,100,73.0
359,73,100,73.0
360,73,100,73.0
361,73,100,73.0
362,73,100,73.0
363,73,100,73.0
364,73,100,73.0
365,73,100,73.0
366,73,100,73.0
367,73,100,73.0
368,73,100,73.0
369,73,100,73.0
370,73,100,73.0
371,73,100,73.0
372,73,100,73.0
373,73,100,73.0
374,73,100,73.0
375,73,100,73.0
376,73,100,73.0
377,73,100,73.0
378,73,100,73.0
379,73,100,73.0
380,73,100,73.0
381,73,100,73.0
382,73,100,73.0
383,73,100,73.0
384,73,100,73.0
385,73,100,73.0
386,73,100,73.0
387,73,100,73.0
388,73,100,73.0
389,73,100,73.0
390,73,100,73.0
391,73,100,73.0
392,73,100,73.0
393,73,100,73.0
394,73,100,73.0
395,73,100,73.0
396,73,100,73.0
397,73,100,73.0
398,73,100,73.0
399,73,100,73.0
400,73,100,73.0
401,73,100,73.0
402,72,100,72.0
403,72,100,72.0
404,72,100,72.0
405,72,100,72.0
406,72,100,72.0
407,72,100,72.0
408,72,100,72.0
409,72,100,72.0
410,72,100,72.0
411,72,100,72.0
412,72,100,72.0
413,72,100,72.0
414,72,100,72.0
415,72,100,72.0
416,72,100,72.0
417,72,100,72.0
418,72,100,72.0
419,72,100,72.0
420,72,100,72.0
421,72,100,72.0
422,72,100,72.0
423,72,100,72.0
424,72,100,72.0
425,72,100,72.0
426,72,100,72.0
427,72,100,72.0
428,72,100,72.0
429,72,100,72.0
430,72,100,72.0
431,72,100,72.0
432,72,100,72.0
433,72,100,72.0
434,72,100,72.0
435,72,100,72.0
436,72,100,72.0
437,72,100,72.0
438,72,100,72.0
439,72,100,72.0
440,72,100,72.0
441,72,100,72.0
442,72,100,72.0
443,72,100,72.0
444,72,100,72.0
445,72,100,72.0
446,72,100,72.0
447,72,100,72.0
448,72,100,72.0
449,72,100,72.0
450,72,100,72.0
451,72,100,72.0
452,72,100,72.0
453,72,100,72.0
454,71,100,71.0
455,71,100,71.0
456,71,100,71.0
457,71,100,71.0
458,71,100,71.0
459,71,100,71.0
460,71,100,71.0
461,71,100,71.0
462,71,100,71.0
463,71,100,71.0
464,71,100,71.0
465,71,100,71.0
466,71,100,71.0
467,71,100,71.0
468,71,100,71.0
469,71,100,71.0
470,71,100,71.0
471,71,100,71.0
472,71,100,71.0
473,71,100,71.0
474,71,100,71.0
475,71,100,71.0
476,71,100,71.0
477,71,100,71.0
478,71,100,71.0
479,71,100,71.0
480,71,100,71.0
481,71,100,71.0
482,71,100,71.0
483,71,100,71.0
484,71,100,71.0
485,71,100,71.0
486,71,100,71.0
487,71,100,71.0
488,71,100,71.0
489,71,100,71.0
490,71,100,71.0
491,71,100,71.0
492,71,100,71.0
493,71,100,71.0
494,71,100,71.0
495,71,100,71.0
496,71,100,71.0
497,70,100,70.0
498,70,100,70.0
499,70,100,70.0
500,70,100,70.0
501,70,100,70.0
502,70,100,70.0
503,70,100,70.0
504,70,100,70.0
505,70,100,70.0
506,70,100,70.0
507,70,100,70.0
508,70,100,70.0
509,70,100,70.0
510,70,100,70.0
511,70,100,70.0
512,70,100,70.0
513,70,100,70.0
514,70,100,70.0
515,70,100,70.0
516,70,100,70.0
517,70,100,70.0
518,70,100,70.0
519,70,100,70.0
520,70,100,70.0
521,70,100,70.0
522,70,100,70.0
523,70,100,70.0
524,70,100,70.0
525,70,100,70.0
526,70,100,70.0
527,70,100,70.0
528,70,100,70.0
529,70,100,70.0
530,70,100,70.0
531,70,100,70.0
532,70,100,70.0
533,70,100,70.0
534,70,100,70.0
535,70,100,70.0
536,70,100,70.0
537,70,100,70.0
538,70,100,70.0
539,70,100,70.0
540,70,100,70.0
541,70,100,70.0
542,70,100,70.0
543,70,100,70.0
544,70,100,70.0
545,70,100,70.0
546,70,100,70.0
547,70,100,70.0
548,70,100,70.0
549,70,100,70.0
550,70,100,70.0
551,70,100,70.0
552,70,100,70.0
553,70,100,70.0
554,69,100,69.0
555,69,100,69.0
556,69,100,69.0
557,69,100,69.0
558,69,100,69.0
559,69,100,69.0
560,69,100,69.0
561,69,100,69.0
562,69,100,69.0
563,69,100,69.0
564,69,100,69.0
565,69,100,69.0
566,69,100,69.0
567,69,100,69.0
568,69,100,69.0
569,69,100,69.0
570,69,100,69.0
571,69,100,69.0
572,69,100,69.0
573,69,100,69.0
574,69,100,69.0
575,69,100,69.0
576,69,100,69.0
577,69,100,69.0
578,69,100,69.0
579,69,100,69.0
580,69,100,69.0
581,69,100,69.0
582,69,100,69.0
583,69,100,69.0
584,69,100,69.0
585,69,100,69.0
586,69,100,69.0
587,69,100,69.0
588,69,100,69.0
589,69,100,69.0
590,69,100,69.0
591,69,100,69.0
592,69,100,69.0
593,69,100,69.0
594,69,100,69.0
595,69,100,69.0
596,69,100,69.0
597,69,100,69.0
598,69,100,69.0
599,69,100,69.0
600,69,100,69.0
601,69,100,69.0
602,68,100,68.0
