,Language,1st_Language,2nd_Language,3rd_Language,4th_Language,5th_Language,6th_Language,7th_Language
223,"English,Spanish,Italian,French,Swiss German,German",English,Spanish,Italian,French,Swiss German,German,
224,"English,Filipino",English,Filipino,,,,,
225,"English,Romanian",English,Romanian,,,,,
226,English,English,,,,,,
227,English,English,,,,,,
228,English,English,,,,,,
229,English,English,,,,,,
230,English,English,,,,,,
231,English,English,,,,,,
232,Hindi,Hindi,,,,,,
233,English,English,,,,,,
234,English,English,,,,,,
235,Turkish,Turkish,,,,,,
236,Hindi,Hindi,,,,,,
237,English,English,,,,,,
238,"Hindi,English,Marathi,Tamil",Hindi,English,Marathi,Tamil,,,
239,English,English,,,,,,
240,English,English,,,,,,
241,English,English,,,,,,
242,Japanese,Japanese,,,,,,
243,"English,Japanese",English,Japanese,,,,,
244,English,English,,,,,,
245,English,English,,,,,,
246,"Icelandic,English",Icelandic,English,,,,,
247,"English,French",English,French,,,,,
248,"English,Italian,Latin,French,Swiss German,German,Chinese,Spanish,Polish",English,Italian,Latin,French,Swiss German,German,Chinese
249,"Spanish,French,English",Spanish,French,English,,,,
250,"English,Spanish",English,Spanish,,,,,
251,"English,Korean",English,Korean,,,,,
252,"English,French,Latin,Spanish",English,French,Latin,Spanish,,,
253,Hindi,Hindi,,,,,,
254,"Spanish,German",Spanish,German,,,,,
255,English,English,,,,,,
256,"Mandarin,English",Mandarin,English,,,,,
257,English,English,,,,,,
258,"English,Italian,Spanish,Washoe",English,Italian,Spanish,Washoe,,,
259,"English,German",English,German,,,,,
260,"English,Spanish",English,Spanish,,,,,
261,"English,Polish",English,Polish,,,,,
262,English,English,,,,,,
263,"English,Spanish,Italian,Latin,Portuguese,French,German",English,Spanish,Italian,Latin,Portuguese,French,German
264,"Mandarin,English,Russian,French,Japanese,Korean,Indonesian,Hindi,German",Mandarin,English,Russian,French,Japanese,Korean,Indonesian
265,Danish,Danish,,,,,,
266,"English,Spanish",English,Spanish,,,,,
267,English,English,,,,,,
268,English,English,,,,,,
269,English,English,,,,,,
270,English,English,,,,,,
271,English,English,,,,,,
272,"English,Korean",English,Korean,,,,,
273,"English,French",English,French,,,,,
274,"English,German",English,German,,,,,
275,"English,Cantonese",English,Cantonese,,,,,
276,"English,Navajo,Spanish",English,Navajo,Spanish,,,,
277,"English,Latin",English,Latin,,,,,
278,English,English,,,,,,
279,"English,German,Turkish,Arabic",English,German,Turkish,Arabic,,,
280,"English,Turkmen,Cantonese,Italian,Spanish,Ukrainian,French",English,Turkmen,Cantonese,Italian,Spanish,Ukrainian,French
281,"English,French",English,French,,,,,
282,Tamil,Tamil,,,,,,
283,English,English,,,,,,
284,English,English,,,,,,
285,English,English,,,,,,
286,English,English,,,,,,
287,English,English,,,,,,
288,English,English,,,,,,
289,English,English,,,,,,
290,English,English,,,,,,
291,"English,Mandarin",English,Mandarin,,,,,
292,English,English,,,,,,
293,English,English,,,,,,
294,English,English,,,,,,
295,"Hindi,English,French,Japanese,Dutch",Hindi,English,French,Japanese,Dutch,,
296,"English,Cantonese",English,Cantonese,,,,,
297,"English,Russian",English,Russian,,,,,
298,English,English,,,,,,
299,English,English,,,,,,
300,English,English,,,,,,
301,English,English,,,,,,
302,English,English,,,,,,
303,"English,Amharic",English,Amharic,,,,,
304,"English,Hebrew,Arabic,Italian",English,Hebrew,Arabic,Italian,,,
305,"English,Spanish,German,French",English,Spanish,German,French,,,
306,"English,Spanish",English,Spanish,,,,,
307,"English,Russian",English,Russian,,,,,
308,English,English,,,,,,
309,"English,French,German",English,French,German,,,,
310,"English,Arabic",English,Arabic,,,,,
311,English,English,,,,,,
312,English,English,,,,,,
313,"Hindi,English",Hindi,English,,,,,
314,"English,Hebrew",English,Hebrew,,,,,
315,"Danish,German",Danish,German,,,,,
316,English,English,,,,,,
317,"English,French,Tibetan,Mandarin,Russian,Hindi,Portuguese,Latin,Italian,Spanish",English,French,Tibetan,Mandarin,Russian,Hindi,Portuguese
